PlayType,PlayDirection
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,LEFT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,MIDDLE
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,RIGHT
RUSH,MIDDLE
RUSH,RIGHT
RUSH,RIGHT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,LEFT
RUSH,LEFT
RUSH,LEFT
RUSH,RIGHT
RUSH,RIGHT
